日期,收盘,开盘,高,低,涨跌幅
2024-02-02,2730.15,2773.29,2791.68,2666.33,-0.0146
2024-02-01,2770.74,2773.42,2805.01,2752.78,-0.0064
2024-01-31,2788.55,2815.5,2834.01,2782.59,-0.0148
2024-01-30,2830.53,2866.28,2881.35,2829.25,-0.0183
2024-01-29,2883.36,2910.61,2923.9,2883.33,-0.0092
2024-01-26,2910.22,2897.91,2924.31,2890.48,0.0014
2024-01-25,2906.11,2823.83,2906.79,2821.71,0.0303
2024-01-24,2820.77,2782.14,2823.7,2743.4,0.018
2024-01-23,2770.98,2746.89,2784.84,2724.16,0.0053
2024-01-22,2756.34,2826.5,2828.32,2735.37,-0.0268
2024-01-19,2832.28,2836.97,2849.88,2822.84,-0.0047
2024-01-18,2845.78,2822.67,2849.26,2760.98,0.0043
2024-01-17,2833.62,2887.29,2887.49,2833.62,-0.0209
2024-01-16,2893.99,2881.56,2896.68,2861.13,0.0027
2024-01-15,2886.29,2872.56,2904.46,2869.22,0.0015
2024-01-12,2881.98,2880.04,2904.17,2878.88,-0.0016
2024-01-11,2886.65,2873.8,2896.18,2867.72,0.0031
2024-01-10,2877.7,2886.98,2903.16,2870.42,-0.0054
2024-01-09,2893.25,2887.11,2900.73,2878.41,0.002
2024-01-08,2887.54,2923.46,2924.46,2887.54,-0.0142
2024-01-05,2929.18,2949.82,2967.97,2916.72,-0.0085
2024-01-04,2954.35,2965.51,2966.68,2936.63,-0.0043
2024-01-03,2967.25,2957.11,2971.28,2953.29,0.0017
2024-01-02,2962.28,2972.77,2976.27,2962.28,-0.0043
2023-12-29,2974.93,2950.84,2975.03,2950.02,0.0068
2023-12-28,2954.7,2913.11,2961.65,2909.39,0.0138
2023-12-27,2914.61,2900.15,2917.96,2890.17,0.0054
2023-12-26,2898.88,2917.97,2917.97,2892.84,-0.0068
2023-12-25,2918.81,2909.88,2920.63,2903.99,0.0014
2023-12-22,2914.78,2919.29,2935.7,2906.51,-0.0013
2023-12-21,2918.71,2892.02,2924.26,2882.02,0.0057
2023-12-20,2902.11,2932.12,2937.1,2902.04,-0.0103
2023-12-19,2932.39,2928.76,2940.5,2914.13,0.0005
2023-12-18,2930.8,2936.58,2951.15,2924.33,-0.004
2023-12-15,2942.56,2966.3,2976.31,2940.03,-0.0056
2023-12-14,2958.99,2979.7,2986.18,2958.07,-0.0033
2023-12-13,2968.76,2997.34,2997.34,2968.76,-0.0115
2023-12-12,3003.44,2986.33,3003.75,2980.45,0.004
2023-12-11,2991.44,2956.29,2995.67,2930.42,0.0074
2023-12-08,2969.56,2965.39,2980.83,2962.33,0.0011
2023-12-07,2966.21,2965.65,2976.01,2949.14,-0.0009
2023-12-06,2968.93,2966.95,2985.31,2959.6,-0.0011
2023-12-05,2972.3,3017.01,3017.01,2972.3,-0.0167
2023-12-04,3022.91,3033.3,3038.98,3022.35,-0.0029
2023-12-01,3031.64,3027.35,3035.76,3010.23,0.0006
2023-11-30,3029.67,3021.1,3030.91,3013.77,0.0026
2023-11-29,3021.69,3038.46,3038.98,3017.66,-0.0056
2023-11-28,3038.55,3028.6,3039.69,3020.23,0.0023
2023-11-27,3031.7,3038.19,3038.36,3015.01,-0.003
2023-11-24,3040.97,3060.33,3060.33,3037.2,-0.0068
2023-11-23,3061.86,3041.68,3062.87,3034.3,0.006
2023-11-22,3043.61,3060.5,3067.96,3043.61,-0.0079
2023-11-21,3067.93,3074.83,3089.77,3063.34,-0.0001
2023-11-20,3068.32,3056.93,3072.51,3043.51,0.0046
2023-11-17,3054.37,3043.62,3055.86,3033.75,0.0011
2023-11-16,3050.93,3066.86,3071.45,3050.93,-0.0071
2023-11-15,3072.83,3077.03,3080.13,3064.35,0.0055
2023-11-14,3056.07,3046.82,3059.53,3044.43,0.0031
2023-11-13,3046.53,3044.03,3048.62,3028.17,0.0025
2023-11-10,3038.97,3043.56,3044,3027.09,-0.0047
2023-11-09,3053.28,3047.65,3063.47,3045.83,0.0003
2023-11-08,3052.37,3051.15,3062.99,3037.29,-0.0016
2023-11-07,3057.27,3052.92,3064.58,3042.47,-0.0004
2023-11-06,3058.41,3047.13,3058.99,3037.69,0.0091
2023-11-03,3030.8,3012.47,3040.98,3012.47,0.0071
2023-11-02,3009.41,3028.66,3038.64,3009.12,-0.0045
2023-11-01,3023.08,3038.18,3038.33,3013.93,0.0014
2023-10-31,3018.77,3019.65,3023,3006.61,-0.0009
2023-10-30,3021.55,3009.61,3028.26,3002.35,0.0012
